Y X GPSALT LONG LAT MAGIGRF IGRF
474752.38 8211981.36 719.61 -51.23618 -16.172333 52.723 23516.142
474744.75 8211910.68 722.38 -51.236252 -16.172972 51.354 23516.057
474737.4 8211839.39 724.87 -51.236321 -16.173617 52.224 23515.971
474730.66 8211767.79 725.67 -51.236385 -16.174264 52.435 23515.885
474724.8 8211695.57 724.82 -51.236441 -16.174917 53.493 23515.799
474720.13 8211622.74 722.95 -51.236485 -16.175575 56.451 23515.712
474715.47 8211548.99 720.61 -51.23653 -16.176242 61.905 23515.624
474712.58 8211474.63 717.81 -51.236557 -16.176914 68.482 23515.535
474710.89 8211399.35 714.56 -51.236574 -16.177594 74.125 23515.446
474710.38 8211322.84 709.78 -51.23658 -16.178286 76.996 23515.355
474710.77 8211245.71 704.11 -51.236577 -16.178983 79.244 23515.264
474712.64 8211167.36 697.89 -51.23656 -16.179692 85.805 23515.172
474715.4 8211088.4 691.73 -51.236535 -16.180406 98.435 23515.08
474719.06 8211008.2 686.73 -51.236502 -16.181131 113.898 23514.986
474723.01 8210926.78 683.64 -51.236466 -16.181867 127.2 23514.891
474728.16 8210844.75 681.01 -51.236419 -16.182608 135.069 23514.795
474733.6 8210762.1 679.08 -51.236369 -16.183356 137.757 23514.698
474739.33 8210679.14 677.56 -51.236316 -16.184106 133.489 23514.602
474745.67 8210595.57 676.23 -51.236257 -16.184861 114.537 23514.505
474752.0 8210512.0 675.59 -51.236199 -16.185617 79.751 23514.407
474758.63 8210428.43 678.54 -51.236138 -16.186372 46.027 23514.31
474764.66 8210345.48 683.12 -51.236082 -16.187122 29.3 23514.214
474771.29 8210262.52 688.87 -51.236021 -16.187872 30.33 23514.117
474777.62 8210179.87 695.55 -51.235963 -16.188619 46.275 23514.021
474783.06 8210098.14 702.9 -51.235913 -16.189358 69.771 23513.926
474787.9 8210016.72 710.68 -51.235869 -16.190094 96.031 23513.831
474792.15 8209936.22 718.32 -51.23583 -16.190822 121.293 23513.737
474795.8 8209856.34 725.7 -51.235796 -16.191544 141.869 23513.644
474798.27 8209777.06 732.37 -51.235774 -16.192261 151.942 23513.551
474800.14 8209698.41 738.77 -51.235757 -16.192972 144.123 23513.458
474800.83 8209620.05 745.44 -51.235752 -16.19368 107.386 23513.366
474800.62 8209542.31 752.34 -51.235755 -16.194383 63.757 23513.274
475279.0 8209488.78 713.4 -51.23128 -16.194872 104.671 23513.317
475280.4 8209563.14 709.44 -51.231266 -16.1942 91.105 23513.405
475282.4 8209638.42 702.96 -51.231246 -16.193519 72.304 23513.494
475283.8 8209714.63 694.42 -51.231232 -16.19283 55.693 23513.584
475285.49 8209792.06 684.46 -51.231216 -16.19213 43.308 23513.676
475286.89 8209870.42 673.41 -51.231202 -16.191422 34.28 23513.769
475287.39 8209950.31 662.09 -51.231196 -16.1907 28.214 23513.863
475287.6 8210031.43 651.2 -51.231194 -16.189967 24.782 23513.959
475286.91 8210114.08 640.64 -51.231199 -16.189219 21.428 23514.056
475286.22 8210197.35 630.27 -51.231205 -16.188467 16.075 23514.154
475285.24 8210281.85 619.88 -51.231213 -16.187703 7.084 23514.254
475283.95 8210367.27 609.68 -51.231224 -16.18693 -1.478 23514.354
475282.37 8210453.61 600.32 -51.231238 -16.18615 -3.718 23514.456
475280.49 8210540.56 591.43 -51.231255 -16.185364 -2.155 23514.558
475278.61 8210628.44 583.43 -51.231271 -16.184569 -2.292 23514.661
475276.73 8210716.93 577.54 -51.231288 -16.183769 4.371 23514.765
475274.85 8210806.04 573.39 -51.231305 -16.182964 15.656 23514.87
475273.26 8210895.45 570.2 -51.231319 -16.182156 18.733 23514.975
475271.38 8210984.56 568.95 -51.231335 -16.18135 25.692 23515.08
475269.2 8211073.66 570.62 -51.231355 -16.180544 41.609 23515.185
475266.43 8211161.85 574.42 -51.23138 -16.179747 64.721 23515.288
475263.36 8211249.11 579.52 -51.231407 -16.178958 83.926 23515.39
475260.29 8211335.76 585.37 -51.231435 -16.178175 99.214 23515.492
475256.93 8211421.17 592.14 -51.231466 -16.177403 100.812 23515.592
475254.16 8211505.98 600.1 -51.231491 -16.176636 85.043 23515.692
475252.58 8211589.24 608.91 -51.231505 -16.175883 63.62 23515.79
475252.19 8211671.59 618.0 -51.231507 -16.175139 43.506 23515.887
475252.7 8211753.02 627.13 -51.231502 -16.174403 27.62 23515.983
475254.09 8211833.52 636.18 -51.231488 -16.173675 24.745 23516.079
475256.67 8211913.11 644.51 -51.231463 -16.172956 37.249 23516.173
475259.55 8211992.08 651.81 -51.231435 -16.172242 43.832 23516.267
475262.73 8212070.13 657.99 -51.231405 -16.171536 45.861 23516.36
475266.21 8212148.18 662.39 -51.231371 -16.170831 49.164 23516.453
475270.28 8212225.93 664.57 -51.231333 -16.170128 52.709 23516.546
475274.05 8212303.98 664.37 -51.231296 -16.169422 57.207 23516.639
475277.82 8212382.03 661.6 -51.23126 -16.168717 66.649 23516.732
475281.3 8212461.0 655.6 -51.231227 -16.168003 82.371 23516.826
475284.77 8212540.59 646.62 -51.231194 -16.167283 101.708 23516.921
475287.95 8212621.09 635.94 -51.231163 -16.166556 117.484 23517.017
475290.53 8212703.14 624.18 -51.231138 -16.165814 126.472 23517.114
475292.81 8212786.1 611.72 -51.231116 -16.165064 131.91 23517.213
475294.2 8212870.3 599.38 -51.231102 -16.164303 141.189 23517.313
475294.7 8212956.02 587.77 -51.231096 -16.163528 159.098 23517.414
475294.3 8213042.98 576.65 -51.231099 -16.162742 181.596 23517.517
475293.91 8213130.55 566.28 -51.231102 -16.16195 209.706 23517.62
475292.91 8213219.35 557.96 -51.23111 -16.161147 239.827 23517.725
475292.22 8213308.15 552.39 -51.231116 -16.160345 263.466 23517.83
475291.53 8213397.26 548.65 -51.231121 -16.159539 285.955 23517.935
475290.83 8213486.67 545.92 -51.231127 -16.158731 305.701 23518.041
475290.73 8213575.78 544.18 -51.231127 -16.157925 316.41 23518.146
475290.63 8213664.89 542.78 -51.231127 -16.15712 323.115 23518.252
475290.83 8213754.0 541.45 -51.231124 -16.156314 328.687 23518.357
475290.73 8213843.41 540.79 -51.231124 -16.155506 336.902 23518.463
475290.63 8213932.21 541.09 -51.231124 -16.154703 345.373 23518.568
475290.53 8214020.71 542.49 -51.231124 -16.153903 349.042 23518.673
475290.73 8214109.2 545.14 -51.231121 -16.153103 346.593 23518.777
475290.63 8214197.08 548.81 -51.231121 -16.152308 339.693 23518.881
475290.53 8214284.65 552.52 -51.231121 -16.151517 335.061 23518.985
475291.02 8214371.61 554.66 -51.231116 -16.150731 336.157 23519.088
475291.52 8214458.57 553.57 -51.23111 -16.149945 340.297 23519.191
475292.31 8214545.83 549.75 -51.231102 -16.149156 342.855 23519.295
475293.7 8214633.4 544.98 -51.231088 -16.148364 341.123 23519.399
475295.09 8214721.28 539.9 -51.231074 -16.14757 334.916 23519.503
475296.47 8214809.17 534.58 -51.23106 -16.146775 327.398 23519.607
475298.16 8214897.35 529.11 -51.231044 -16.145978 325.992 23519.712
475299.84 8214986.16 523.63 -51.231027 -16.145175 330.76 23519.818
475301.52 8215075.27 517.96 -51.23101 -16.14437 333.601 23519.924
475303.2 8215164.38 512.11 -51.230994 -16.143564 333.969 23520.03
