GPSALT IGRF LAT LONG Line MAGIGRF X Y
590.68 23519.024 -16.152911 -51.221808 22750 641.894 8214131.5 476286.45
590.34 23519.053 -16.152689 -51.221799 22750 642.19 8214156.08 476287.32
590.0 23519.083 -16.152464 -51.221791 22750 641.133 8214180.97 476288.18
589.66 23519.112 -16.152239 -51.221785 22750 638.726 8214205.86 476288.75
589.69 23519.142 -16.152014 -51.221777 22750 635.174 8214230.75 476289.61
589.71 23519.171 -16.151792 -51.221772 22750 630.763 8214255.33 476290.18
589.74 23519.201 -16.151567 -51.221763 22750 625.789 8214280.22 476291.04
589.8 23519.23 -16.151342 -51.22176 22750 620.546 8214305.11 476291.31
589.88 23519.259 -16.15112 -51.221755 22750 615.224 8214329.69 476291.88
589.96 23519.289 -16.150895 -51.221749 22750 609.766 8214354.58 476292.45
589.97 23519.318 -16.15067 -51.221747 22750 604.032 8214379.47 476292.72
589.84 23519.348 -16.150447 -51.221741 22750 597.853 8214404.05 476293.28
589.71 23519.377 -16.150222 -51.221738 22750 591.125 8214428.94 476293.55
589.58 23519.406 -16.15 -51.221733 22750 583.85 8214453.52 476294.12
588.93 23519.436 -16.149775 -51.22173 22750 576.119 8214478.41 476294.39
588.28 23519.465 -16.149553 -51.221724 22750 568.072 8214503.0 476294.96
587.64 23519.495 -16.149328 -51.221722 22750 559.704 8214527.89 476295.23
586.72 23519.524 -16.149103 -51.221719 22750 551.113 8214552.77 476295.5
585.67 23519.553 -16.148881 -51.221713 22750 542.368 8214577.36 476296.07
584.61 23519.583 -16.148656 -51.22171 22750 533.39 8214602.25 476296.34
583.66 23519.612 -16.148431 -51.221708 22750 524.075 8214627.13 476296.61
582.89 23519.642 -16.148206 -51.221705 22750 514.33 8214652.02 476296.88
582.13 23519.672 -16.147981 -51.221702 22750 504.006 8214676.91 476297.15
581.37 23519.701 -16.147756 -51.221699 22750 492.851 8214701.8 476297.42
581.1 23519.731 -16.147528 -51.221697 22750 480.704 8214727.0 476297.69
580.82 23519.76 -16.147303 -51.221697 22750 467.543 8214751.89 476297.66
580.55 23519.79 -16.147075 -51.221697 22750 453.392 8214777.08 476297.63
580.13 23519.82 -16.146847 -51.221694 22750 438.337 8214802.28 476297.9
579.65 23519.85 -16.146622 -51.221694 22750 422.468 8214827.17 476297.88
579.16 23519.879 -16.146395 -51.221694 22750 405.86 8214852.36 476297.85
578.59 23519.909 -16.146167 -51.221691 22750 388.592 8214877.56 476298.12
577.86 23519.939 -16.145939 -51.221691 22750 370.908 8214902.76 476298.09
577.13 23519.969 -16.145714 -51.221691 22750 353.205 8214927.64 476298.07
576.4 23519.999 -16.145483 -51.221688 22750 335.917 8214953.15 476298.33
575.48 23520.029 -16.145256 -51.221688 22750 319.538 8214978.34 476298.31
574.57 23520.059 -16.145028 -51.221685 22750 304.753 8215003.54 476298.58
573.65 23520.088 -16.1448 -51.221685 22750 292.257 8215028.74 476298.55
572.7 23520.118 -16.144572 -51.22168 22750 282.953 8215053.93 476299.12
571.71 23520.148 -16.144345 -51.221677 22750 277.881 8215079.13 476299.39
570.73 23520.179 -16.144114 -51.221674 22750 277.887 8215104.63 476299.66
569.79 23520.208 -16.143886 -51.221672 22750 283.519 8215129.83 476299.93
568.92 23520.239 -16.143656 -51.221672 22750 295.109 8215155.33 476299.9
568.04 23520.269 -16.143428 -51.221666 22750 312.617 8215180.53 476300.47
567.17 23520.299 -16.143197 -51.221666 22750 335.32 8215206.03 476300.44
566.46 23520.329 -16.142967 -51.22166 22750 361.888 8215231.54 476301.0
565.76 23520.359 -16.142739 -51.221655 22750 390.623 8215256.73 476301.57
