GPSALT IGRF LAT LONG Line MAGIGRF X Y
548.56 23516.036 -16.175803 -51.221605 22750 -167.443 8211599.32 476310.86
549.44 23516.046 -16.175728 -51.221608 22750 -165.281 8211607.62 476310.56
550.28 23516.056 -16.17565 -51.22161 22750 -163.035 8211616.22 476310.25
551.13 23516.066 -16.175572 -51.221616 22750 -160.711 8211624.83 476309.65
551.97 23516.075 -16.175497 -51.221619 22750 -158.29 8211633.12 476309.34
552.81 23516.085 -16.175419 -51.221621 22750 -155.81 8211641.72 476309.03
553.66 23516.095 -16.175344 -51.221624 22750 -153.294 8211650.02 476308.73
554.5 23516.105 -16.175267 -51.221627 22750 -150.754 8211658.62 476308.42
555.34 23516.115 -16.175192 -51.22163 22750 -148.216 8211666.92 476308.12
556.18 23516.125 -16.175114 -51.221635 22750 -145.691 8211675.52 476307.51
557.03 23516.135 -16.175039 -51.221638 22750 -143.199 8211683.82 476307.21
557.87 23516.145 -16.174961 -51.221641 22750 -140.756 8211692.42 476306.9
558.63 23516.155 -16.174883 -51.221644 22750 -138.388 8211701.02 476306.6
559.4 23516.165 -16.174808 -51.221649 22750 -136.109 8211709.32 476305.99
560.16 23516.174 -16.174733 -51.221652 22750 -133.932 8211717.62 476305.69
560.92 23516.184 -16.174658 -51.221655 22750 -131.871 8211725.91 476305.38
561.69 23516.194 -16.174581 -51.221658 22750 -129.932 8211734.52 476305.07
562.45 23516.204 -16.174506 -51.22166 22750 -128.13 8211742.81 476304.77
563.21 23516.214 -16.174431 -51.221666 22750 -126.462 8211751.11 476304.17
563.97 23516.223 -16.174356 -51.221669 22750 -124.915 8211759.4 476303.86
564.74 23516.233 -16.174278 -51.221671 22750 -123.51 8211768.01 476303.55
565.5 23516.243 -16.174203 -51.221674 22750 -122.254 8211776.3 476303.25
566.18 23516.253 -16.174128 -51.221677 22750 -121.14 8211784.6 476302.94
566.85 23516.263 -16.174053 -51.221683 22750 -120.166 8211792.89 476302.34
567.53 23516.272 -16.173978 -51.221685 22750 -119.314 8211801.19 476302.03
568.2 23516.282 -16.173903 -51.221688 22750 -118.578 8211809.49 476301.73
