 GPSALT IGRF LAT LONG Line mag_res1 MAGIGRF X Y
187 583.66 23519.612 -16.148431 -51.221708 22750 -301.9321690439101 524.075 8214627.13 476296.61
188 582.89 23519.642000000003 -16.148206 -51.221705 22750 -317.6755046912448 514.33 8214652.02 476296.88
189 582.13 23519.672000000002 -16.147981 -51.221702 22750 -333.9978403387977 504.006 8214676.91 476297.15
190 581.37 23519.701 -16.147756 -51.221699 22750 -351.1511759861381 492.851 8214701.8 476297.42
191 581.1 23519.731 -16.147528 -51.221697 22750 -369.3715560197216 480.704 8214727.0 476297.69
192 580.82 23519.76 -16.147303 -51.221697 22750 -388.5608942476049 467.543 8214751.89 476297.66
193 580.55 23519.79 -16.147075 -51.221697 22750 -408.81285607513774 453.392 8214777.08 476297.63
194 580.13 23519.82 -16.146847 -51.221694 22750 -429.9412361087212 438.337 8214802.28 476297.9
195 579.65 23519.85 -16.146622 -51.221694 22750 -451.83757425057814 422.468 8214827.17 476297.88
196 579.16 23519.879 -16.146395000000002 -51.221694 22750 -474.5465360781168 405.86 8214852.36 476297.85
197 578.59 23519.909 -16.146167000000002 -51.221691 22750 -497.88791611147474 388.592 8214877.56 476298.12
198 577.86 23519.939 -16.145939000000002 -51.221691 22750 -521.6752987256011 370.908 8214902.76 476298.09
199 577.13 23519.968999999997 -16.145714 -51.221691 22750 -545.4032160808717 353.205 8214927.64 476298.07
200 576.4 23519.999 -16.145483 -51.221688 22750 -568.8406405867233 335.917 8214953.15 476298.33
201 575.48 23520.029 -16.145256 -51.221688 22750 -591.3196023280173 319.538 8214978.34 476298.31
202 574.57 23520.058999999997 -16.145028 -51.221685 22750 -612.1779823616007 304.753 8215003.54 476298.58
203 573.65 23520.088 -16.1448 -51.221685 22750 -630.777364975733 292.257 8215028.74 476298.55
204 572.7 23520.118 -16.144572 -51.22168 22750 -646.1223216419546 282.953 8215053.93 476299.12
205 571.71 23520.147999999997 -16.144345 -51.221677 22750 -657.2677016755381 277.881 8215079.13 476299.39
206 570.73 23520.179 -16.144114000000002 -51.221674 22750 -663.4077053085646 277.887 8215104.63 476299.66
207 569.79 23520.208 -16.143886 -51.221672 22750 -663.849085342148 283.519 8215129.83 476299.93
208 568.92 23520.238999999998 -16.143656 -51.221672 22750 -658.4350915557042 295.10900000000004 8215155.33 476299.9
209 568.04 23520.269 -16.143428 -51.221666 22750 -646.9704690087508 312.617 8215180.53 476300.47
210 567.17 23520.299 -16.143197 -51.221666 22750 -630.4434752223069 335.32 8215206.03 476300.44
211 566.46 23520.328999999998 -16.142967000000002 -51.22166 22750 -609.9948971473973 361.88800000000003 8215231.54 476301.0
212 565.76 23520.359 -16.142739000000002 -51.221655 22750 -587.3008538138444 390.62300000000005 8215256.73 476301.57
213 565.05 23520.389 -16.142508 -51.221652 22750 -564.0272782334514 420.045 8215282.24 476301.84
214 564.13 23520.42 -16.142278 -51.221647 22750 -540.8302792859349 449.358 8215307.74 476302.41
215 563.09 23520.45 -16.142045 -51.221641 22750 -517.6653248104478 478.715 8215333.55 476302.97
216 562.06 23520.48 -16.141817 -51.221638 22750 -493.35070484403144 509.103 8215358.75 476303.24
217 560.97 23520.511000000002 -16.141582999999997 -51.221633000000004 22750 -466.72075028253255 541.924 8215384.56 476303.81
218 559.76 23520.541 -16.141353 -51.221627000000005 22750 -436.2987513350031 578.462 8215410.06 476304.38
219 558.55 23520.572 -16.141122 -51.221624 22750 -401.79417575484274 619.115 8215435.57 476304.65
220 557.34 23520.602000000003 -16.140889 -51.221621999999996 22750 -363.76522385991154 663.3660000000001 8215461.38 476304.91
221 556.13 23520.632999999998 -16.140656 -51.221616 22750 -323.611269298631 709.711 8215487.19 476305.48
222 554.93 23520.662999999997 -16.140425 -51.221613 22750 -283.72427293165174 755.7439999999999 8215512.69 476305.75
223 553.72 23520.694 -16.140192000000003 -51.22161 22750 -247.1753209506885 798.5139999999999 8215538.5 476306.02
224 574.46 23520.826 -16.140006 -51.217063 22760 -283.454419795749 718.7260000000001 8215559.61 476792.17
225 573.39 23520.801 -16.140203 -51.217055 22760 -298.59625541340927 698.21 8215537.79 476793.09
226 572.45 23520.775 -16.140403 -51.217046999999994 22760 -316.6184675176646 674.742 8215515.67 476794.0
227 571.51 23520.749 -16.140603 -51.217038 22760 -337.33867953589356 648.575 8215493.55 476794.92
228 570.57 23520.722999999998 -16.140803 -51.217027 22760 -359.8578890596002 620.58 8215471.43 476796.13
229 569.91 23520.697 -16.141003 -51.217016 22760 -383.15167779671333 591.808 8215449.3 476797.34
230 569.25 23520.671000000002 -16.141203 -51.217002 22760 -406.3448847398829 563.109 8215427.18 476798.85
231 568.59 23520.645 -16.141403 -51.216991 22760 -429.04209426358955 534.936 8215405.06 476800.06
232 568.14 23520.619 -16.141606 -51.216977 22760 -450.96325682072285 507.434 8215382.63 476801.57
233 567.8 23520.592999999997 -16.141806 -51.216963 22760 -472.53446384990576 480.358 8215360.51 476803.07
234 567.47 23520.567000000003 -16.142007999999997 -51.216947 22760 -494.0026238264961 453.279 8215338.08 476804.88
235 567.22 23520.541 -16.142208 -51.21693 22760 -515.9398281891172 425.806 8215315.96 476806.69
236 567.15 23520.515 -16.142411 -51.216913 22760 -538.0569882517339 398.079 8215293.53 476808.49
237 567.08 23520.488999999998 -16.142614000000002 -51.216896999999996 22760 -559.6311482280986 370.894 8215271.1 476810.3
238 567.01 23520.462000000003 -16.142817 -51.216879999999996 22760 -579.273308290708 345.642 8215248.67 476812.1
239 567.42 23520.436 -16.14302 -51.216863000000004 22760 -595.3374682673057 323.967 8215226.24 476813.91
240 567.83 23520.41 -16.14322 -51.216846999999994 22760 -606.5056727159399 307.264 8215204.12 476815.71
241 568.23 23520.384 -16.143422 -51.216827 22760 -611.6398301119875 296.48900000000003 8215181.69 476817.82
242 568.87 23520.357999999997 -16.143625 -51.216809999999995 22760 -610.8434109609723 291.678 8215159.27 476819.62
243 569.61 23520.332000000002 -16.143828 -51.216791 22760 -604.613568443039 292.268 8215136.84 476821.72
244 570.36 23520.306 -16.144031 -51.216774 22760 -593.7627284196308 297.508 8215114.41 476823.53
245 570.93 23520.28 -16.144233 -51.216758 22760 -579.1778884822402 306.483 8215091.98 476825.33
246 571.12 23520.252999999997 -16.144439000000002 -51.216741 22760 -562.1650040725815 317.81 8215069.24 476827.14
247 571.32 23520.227000000003 -16.144642 -51.216727 22760 -543.7725874163156 330.624 8215046.82 476828.65
248 571.51 23520.201 -16.144845 -51.21671 22760 -523.8987474786994 344.88800000000003 8215024.39 476830.45
249 571.19 23520.174 -16.14505 -51.216696999999996 22760 -502.1838656498093 360.94699999999995 8215001.65 476831.96
250 570.87 23520.147999999997 -16.145253 -51.21668 22760 -477.94202562617414 379.57800000000003 8214979.22 476833.77
251 570.55 23520.122000000003 -16.145457999999998 -51.216663 22760 -450.5555620893611 401.282 8214956.49 476835.57
252 570.13 23520.095 -16.145664 -51.216649 22760 -420.3276802602453 425.85400000000004 8214933.75 476837.08
253 569.66 23520.069 -16.145867000000003 -51.216635 22760 -388.0468428173785 452.55400000000003 8214911.32 476838.59
254 569.18 23520.042 -16.146072 -51.216621999999994 22760 -354.6239609882686 480.32099999999997 8214888.58 476840.1
255 568.8 23520.016 -16.146278 -51.216608 22760 -321.43449994574644 507.85699999999997 8214865.85 476841.61
256 568.57 23519.988999999998 -16.146483 -51.216599 22760 -289.388623277942 534.307 8214843.11 476842.52
257 568.35 23519.962000000003 -16.146692 -51.216590999999994 22760 -258.7641229244689 559.262 8214820.07 476843.44
258 568.13 23519.935 -16.146897 -51.21658 22760 -229.63524367589594 582.765 8214797.33 476844.65
