LINE,X,Y,GPSALT,RAD,MAGLEV,syn_dem,MAG_REGIONAL,mag_res,ellip_pipe_magmod,ellipsoid_magmod
     L22750,476277.240764,8213902.313583,597.444518,141.662369,24142.211591,455.782149,23847.201527,370.324115,243.136795,300.772165
     L22750,476276.535426,8213882.312136,598.165758,143.412122,24144.425467,454.753636,23845.726757,373.308952,241.580570,300.895016
     L22750,476275.832831,8213862.310833,598.899698,143.601251,24146.650280,455.298448,23844.250069,376.306593,239.895038,300.886349
     L22750,476275.124224,8213842.309643,599.648964,143.231134,24148.744022,456.417830,23842.771358,379.175310,238.073362,300.736695
     L22750,476274.419812,8213822.308588,600.400834,142.854688,24150.564551,457.546147,23841.290746,381.772638,236.116334,300.446236
     L22750,476273.707590,8213802.307648,601.146637,142.475506,24152.021333,458.671131,23839.808083,384.008427,234.015288,300.004085
     L22750,476272.875394,8213782.306717,601.803968,142.526091,24152.978536,459.277877,23838.321912,385.750545,231.715053,299.350571
     L22750,476271.995659,8213762.305906,602.384453,142.832227,24153.343845,459.552226,23836.833088,386.904375,229.243325,298.515627
     L22750,476271.576899,8213742.305586,602.981911,143.130449,24153.078217,459.851462,23835.348444,387.413895,226.823934,297.753767
     L22750,476270.871440,8213722.305142,603.558084,143.434048,24152.222019,460.124036,23833.858054,387.344315,224.124306,296.676794
     L22750,476270.149688,8213702.304811,604.284228,144.445636,24150.791106,459.838592,23832.365483,386.702531,221.267479,295.412141
     L22750,476269.439087,8213682.304602,605.093482,145.949663,24148.869142,459.143819,23830.871111,385.571279,218.260583,293.971083
     L22750,476268.830702,8213662.304516,605.908651,147.476294,24146.542173,458.432357,23829.376277,384.033444,215.138215,292.399960
     L22750,476268.292638,8213642.304509,606.725595,149.003353,24143.986537,457.722243,23827.880592,382.266392,211.883503,290.677782
     L22750,476267.568101,8213622.304603,607.666473,150.788829,24141.309654,456.877644,23826.380219,380.386511,208.385806,288.656545
     L22750,476267.158039,8213602.304706,608.664678,152.743340,24138.607557,455.921337,23824.882740,378.472237,204.863918,286.605068
     L22750,476266.721981,8213582.304856,609.707786,154.752561,24135.739775,454.955224,23823.383063,376.394998,201.162781,284.334992
     L22750,476266.287214,8213562.305046,610.707649,156.709629,24132.885604,453.998019,23821.881604,374.333128,197.286892,281.859401
     L22750,476265.871484,8213542.305264,611.736134,158.605201,24129.829502,453.130934,23820.378651,372.070441,193.246464,279.180807
     L22750,476265.436488,8213522.305533,612.747478,162.858574,24126.689906,449.888904,23818.873588,369.726757,189.019249,276.275093
     L22750,476265.011475,8213502.305833,613.764248,166.921726,24123.320707,446.842522,23817.366890,367.154907,184.617951,273.153206
     L22750,476264.584004,8213482.306169,614.775542,170.991670,24119.755614,443.783872,23815.858352,364.389053,180.034478,269.804393
     L22750,476264.306911,8213462.306405,615.761664,174.110672,24115.844040,441.650992,23814.350628,361.272895,175.333285,266.310654
     L22750,476264.324056,8213442.306381,616.728458,176.703082,24111.643680,440.025376,23812.846384,357.858582,170.575793,262.748616
     L22750,476264.053175,8213422.306623,617.698884,179.208754,24107.226156,438.490130,23811.335422,354.239589,165.505177,258.788069
     L22750,476264.062492,8213402.306605,618.655376,181.786826,24102.431443,436.868551,23809.827849,350.234409,160.368499,254.743732
     L22750,476263.799441,8213382.306851,619.614229,182.988096,24097.096389,436.626134,23808.313684,345.700930,154.924629,250.302602
     L22750,476263.821057,8213362.306820,620.569745,183.497884,24091.257784,437.071861,23806.803151,340.654573,149.414226,245.772999
     L22750,476263.842672,8213342.306789,621.520926,184.072663,24084.843880,437.448263,23805.291067,335.034466,143.712475,240.992753
     L22750,476263.864288,8213322.306758,622.476585,184.607708,24078.028001,437.868877,23803.777431,329.013936,137.735747,235.958983
     L22750,476264.179843,8213302.306454,623.360174,184.311883,24070.600198,439.048291,23802.268000,322.371394,131.850632,230.833184
     L22750,476264.354834,8213282.306294,624.225979,183.775972,24062.578541,440.450007,23800.754389,315.141993,125.626742,225.370985
     L22750,476264.526336,8213262.306141,625.092753,183.236434,24053.865595,441.856319,23799.239240,307.222909,119.208821,219.646117
     L22750,476265.052293,8213242.305732,625.970002,182.715734,24044.349376,443.254268,23797.729854,298.487697,112.742662,213.850910
     L22750,476265.538908,8213222.305407,626.795323,179.427422,24034.087380,447.367901,23796.218380,289.009587,106.058917,207.769164
     L22750,476266.333734,8213202.304985,627.612082,175.750632,24023.073547,451.861450,23794.712065,278.768316,99.300025,201.584699
     L22750,476266.831578,8213182.304791,628.419626,172.129095,24011.345589,456.290531,23793.198320,267.826293,92.229699,194.972906
     L22750,476267.335679,8213162.304644,629.232172,168.376683,23998.836879,460.855489,23791.683419,256.104552,84.971774,188.096552
     L22750,476268.421204,8213142.304505,629.811821,157.352015,23985.408498,472.459806,23790.179884,243.440155,77.701150,181.251634
     L22750,476269.216007,8213122.304555,630.394632,155.376725,23970.915651,475.017907,23788.668972,229.724485,70.128768,173.982617
     L22750,476270.315892,8213102.304830,630.975617,153.358003,23955.103809,477.617614,23787.163735,214.678057,62.472401,166.595067
     L22750,476271.114439,8213082.305181,631.533722,150.521369,23938.488191,481.012352,23785.650732,198.841643,54.516343,158.783514
     L22750,476271.909511,8213062.305652,631.986306,143.060609,23921.087223,488.925697,23784.136522,182.221160,46.355497,150.699565
     L22750,476273.012838,8213042.306510,632.444026,135.736143,23903.201810,496.707883,23782.628308,165.104090,38.113705,142.495796
     L22750,476273.819485,8213022.307283,632.907493,128.397518,23885.752181,504.509975,23781.112194,148.436630,29.598649,133.884600
     L22750,476274.614295,8213002.308162,633.418745,120.857011,23869.682848,512.561734,23779.594676,133.151109,20.919477,125.010359
     L22750,476275.420883,8212982.309172,634.043516,112.728254,23854.581029,521.315262,23778.076311,118.833720,12.104772,115.892730
     L22750,476276.227512,8212962.310304,634.657428,104.584407,23840.364000,530.073021,23776.556823,105.402247,3.132326,106.527351
     L22750,476277.034092,8212942.311550,635.281624,96.458385,23826.594690,538.823239,23775.036210,92.419622,-5.985841,96.921539
     L22750,476277.835610,8212922.312906,636.087851,94.923523,23813.263486,541.164328,23773.514349,79.876457,-15.201700,87.092317
     L22750,476278.647365,8212902.314393,637.039749,97.673376,23800.368782,539.366373,23771.991617,67.770463,-24.507678,77.055124
     L22750,476279.167183,8212882.315390,637.982145,100.410272,23788.313129,537.571873,23770.460385,56.517837,-33.996609,66.694393
     L22750,476279.963505,8212862.317029,638.928045,103.201643,23776.780159,535.726402,23768.934938,45.776605,-43.527238,56.240025
     L22750,476280.772107,8212842.318804,639.681315,104.495499,23765.550397,535.185816,23767.408679,35.339155,-53.203489,45.578169
     L22750,476281.576817,8212822.320679,640.393336,105.540236,23754.558551,534.853100,23765.881195,25.140925,-62.980153,34.725346
     L22750,476282.389196,8212802.322685,641.112332,106.596024,23743.637352,534.516308,23764.352788,15.014118,-72.830819,23.701434
     L22750,476283.182698,8212782.324745,641.821149,107.651886,23733.014665,534.169263,23762.822758,5.187824,-82.752095,12.508182
     L22750,476283.721369,8212762.326179,642.318590,108.712294,23722.759379,533.606296,23761.284742,-4.258012,-92.818783,1.065063
     L22750,476284.535963,8212742.328473,642.815366,109.770371,23712.880320,533.044996,23759.752954,-13.339333,-102.890447,-10.436973
     L22750,476285.053497,8212722.329950,643.311044,110.836501,23703.208595,532.474544,23758.211894,-22.198140,-113.015601,-22.138332
     L22750,476285.871396,8212702.332423,643.625186,112.343050,23693.652128,531.282135,23756.677877,-30.954700,-123.183399,-33.904807
     L22750,476286.389830,8212682.334009,643.543788,114.894294,23684.158564,528.649495,23755.134362,-39.632907,-133.497898,-45.905814
     L22750,476287.175514,8212662.336535,643.473295,117.441366,23674.824107,526.031929,23753.597117,-48.163582,-143.783540,-57.938652
     L22750,476287.730081,8212642.338344,643.393188,119.959909,23665.688413,523.433279,23752.052146,-56.483175,-154.050221,-70.089398
     L22750,476288.367006,8212622.340490,642.937737,122.298585,23656.497774,520.639153,23750.508284,-64.860456,-164.401756,-82.361315
     L22750,476289.024182,8212602.342774,642.217283,124.490618,23647.092940,517.726665,23748.963795,-73.451706,-174.793068,-94.738453
     L22750,476289.298377,8212582.343661,641.494316,126.726119,23637.214735,514.768197,23747.406866,-82.496283,-185.096547,-107.193817
     L22750,476290.109690,8212562.346626,640.773622,128.957908,23627.173163,511.815714,23745.864426,-91.729375,-195.337380,-119.608813
     L22750,476290.547368,8212542.348191,639.549631,129.730789,23616.880415,509.818841,23744.309701,-101.193942,-205.638755,-132.187947
