ALTURA GPSALT IGRF mag_res1 mag_res2 LAT LONG Line MAGIGRF X Y
198.11 962.2 22766.271 6.204091931794572 7.844506962690892 -27.813964 -49.133756 12180 -42.157 6922008.0 683826.0
169.96 971.97 22766.261 10.045483469035773 11.765509388694936 -27.813039 -49.133783 12180 -38.273 6922111.0 683825.0
133.61 983.06 22766.252 14.01416810417306 15.812599860220681 -27.812122 -49.133792 12180 -34.261 6922212.0 683826.0
108.98 995.58 22766.244 17.13227393454367 19.008336935189817 -27.811219 -49.133794 12180 -31.1 6922312.0 683827.0
97.22 1009.68 22766.235 20.172026313862272 22.125118032919836 -27.810331 -49.133797 12180 -28.017 6922411.0 683829.0
92.22 1026.72 22766.227000000006 23.34159157145209 25.369044102345608 -27.809461 -49.133811 12180 -24.807 6922507.0 683829.0
92.93 1043.88 22766.218 26.20735267056095 28.308219355897503 -27.808608000000003 -49.133831 12180 -21.902 6922602.0 683828.0
111.91 1056.05 22766.209 29.89253496490316 32.066041212892856 -27.807761 -49.133856 12180 -18.178 6922696.0 683827.0
154.51 1060.35 22766.2 33.49171725924538 35.73786306988822 -27.806906 -49.133878 12180 -14.54 6922790.0 683826.0
192.35 1060.65 22766.191000000006 38.30386132160184 40.62514253587052 -27.806039 -49.133894 12180 -9.687 6922887.0 683826.0
229.56 1057.44 22766.182 42.922809542439275 45.32017281772666 -27.805153000000004 -49.133903 12180 -5.026 6922985.0 683827.0
251.08 1052.43 22766.174 47.41171953129106 49.887660708569676 -27.804242 -49.1339 12180 -0.493 6923086.0 683829.0
265.94 1045.95 22766.166 49.453787129675824 52.00985539252578 -27.803306 -49.133894 12180 1.594 6923189.0 683831.0
269.74 1037.28 22766.158 50.081169947127 52.72046366270795 -27.802344 -49.133886 12180 2.268 6923296.0 683833.0
260.23 1030.26 22766.149 50.424710374111136 53.14877872600313 -27.801358 -49.133889 12180 2.659 6923405.0 683835.0
252.21 1025.61 22766.139 49.626536507965966 52.43735914033318 -27.80035 -49.133897 12180 1.908 6923517.0 683835.0
245.32 1024.34 22766.129 49.20216680030199 52.10069037053707 -27.799328000000006 -49.133908 12180 1.5319999999999998 6923630.0 683836.0
222.21 1024.76 22766.119 47.782150543689916 50.76897757798017 -27.798303000000004 -49.133922 12180 0.16 6923744.0 683836.0
176.85 1026.84 22766.109 45.66235964079236 48.73766220474062 -27.797275 -49.133936 12180 -1.911 6923858.0 683837.0
129.61 1033.07 22766.099 43.81576457941386 46.97859601562718 -27.796256 -49.133956 12180 -3.71 6923971.0 683837.0
76.61 1044.26 22766.089 42.2835907132687 45.533176429957216 -27.795247 -49.133972 12180 -5.195 6924083.0 683837.0
72.71 1053.61 22766.079 41.98103388387583 45.3156526318569 -27.79425 -49.133992 12180 -5.452000000000001 6924193.0 683836.0
100.16 1059.5 22766.069 41.739702408197594 45.15952625307392 -27.793256 -49.134017 12180 -5.647 6924303.0 683836.0
103.14 1061.52 22766.058 43.10992022509029 46.614605035656254 -27.792264000000007 -49.134047 12180 -4.232 6924413.0 683834.0
127.74 1061.67 22766.048 45.06594220046409 48.656434634112465 -27.791267 -49.134078 12180 -2.23 6924524.0 683833.0
163.19 1058.96 22766.037 47.841738822123354 51.51786681325126 -27.790261 -49.134114 12180 0.591 6924635.0 683831.0
197.3 1054.09 22766.027 47.62114376074472 51.384800624137824 -27.789244 -49.134136 12180 0.418 6924748.0 683831.0
212.69 1048.41 22766.017000000003 44.385902150418126 48.237690412263575 -27.788214 -49.134156 12180 -2.77 6924862.0 683830.0
221.34 1044.37 22766.007 38.95026885705378 42.89208183213704 -27.787169 -49.134164 12180 -8.156 6924978.0 683831.0
214.71 1044.23 22765.997000000007 31.95463556368943 35.986473252010555 -27.786119 -49.13417800000001 12180 -15.102 6925094.0 683832.0
182.35 1044.16 22765.987 23.77035572137709 27.892820649123202 -27.785064 -49.134189 12180 -23.237 6925211.0 683832.0
136.88 1045.43 22765.977000000006 21.597301232779287 25.810565465553193 -27.784011 -49.134206 12180 -25.36 6925328.0 683833.0
111.36 1047.63 22765.966 25.378217231985783 29.681162046791954 -27.782961 -49.134228 12180 -21.531 6925444.0 683832.0
117.88 1058.03 22765.956 28.62620097537382 33.01744925423505 -27.781931 -49.13425 12180 -18.235 6925558.0 683832.0
111.05 1070.71 22765.946 32.95780175551415 37.43563224924774 -27.780919 -49.134275 12180 -13.857 6925670.0 683831.0
126.01 1078.21 22765.936 39.06462788936899 43.629212663577775 -27.779917 -49.134297 12180 -7.7029999999999985 6925782.0 683831.0
130.66 1078.59 22765.926 53.802649864742776 58.453042262033975 -27.778914 -49.134317 12180 7.081 6925893.0 683830.0
140.23 1169.7 22766.179 82.90931854179058 87.70375298167332 -27.778142 -49.129406 12190 36.597 6925971.0 684316.0
115.62 1166.66 22766.187 67.6671181644783 72.36946251073475 -27.779206 -49.129422 12190 21.302 6925853.0 684312.0
100.35 1166.46 22766.197 53.15394729936159 57.7653202749874 -27.780264000000006 -49.129422 12190 6.738 6925736.0 684310.0
86.31 1167.17 22766.206 41.94358059272607 46.46492885511395 -27.781314 -49.129417 12190 -4.522 6925620.0 684309.0
128.22 1165.6 22766.216 27.00321388609041 31.43453743524044 -27.782356 -49.129406 12190 -19.512 6925504.0 684308.0
180.19 1161.99 22766.226 29.61865133793583 33.96089683124086 -27.783394 -49.129389 12190 -16.945 6925389.0 684308.0
211.76 1155.91 22766.236 43.67031414349589 47.92365364655857 -27.784431 -49.129367 12190 -2.9410000000000003 6925274.0 684309.0
221.33 1149.42 22766.247000000007 54.15697694905582 58.32141046187635 -27.785469 -49.129336 12190 7.497999999999998 6925159.0 684310.0
195.65 1144.45 22766.259 57.984865108330396 62.0605646965114 -27.786511 -49.129297 12190 11.279000000000002 6925044.0 684312.0
150.28 1142.43 22766.27 57.15317446283829 61.13936553458998 -27.787553000000006 -49.129261 12190 10.4 6924928.0 684314.0
111.69 1146.2 22766.281000000006 57.148837268398225 61.04612234990776 -27.788589 -49.12922800000001 12190 10.348 6924813.0 684315.0
88.71 1153.1 22766.292 57.90352958615386 61.7130274004167 -27.789619 -49.129189 12190 11.057 6924699.0 684318.0
88.33 1157.97 22766.303 59.218996550194966 62.940535031608285 -27.790642 -49.129144 12190 12.326 6924585.0 684320.0
127.5 1156.5 22766.315 61.127267672717025 64.76179347867378 -27.791669 -49.129094 12190 14.189 6924472.0 684323.0
154.57 1149.68 22766.328 63.387027734654076 66.93238915538706 -27.792711 -49.129036 12190 16.403 6924356.0 684327.0
171.21 1135.88 22766.34 65.53343434553899 68.98902885486115 -27.793767 -49.128972 12190 18.504 6924239.0 684332.0
179.42 1120.82 22766.353 67.14487918840967 70.50821094534834 -27.794847 -49.128917 12190 20.068 6924119.0 684336.0
188.27 1109.93 22766.366 68.77894106803285 72.04828882340512 -27.795953000000004 -49.128861 12190 21.653 6923997.0 684339.0
212.14 1104.76 22766.378 71.12426653335629 74.29730651179237 -27.797072 -49.128814 12190 23.948 6923872.0 684342.0
219.01 1103.29 22766.391 74.03594544973173 77.1132801774188 -27.7982 -49.128769 12190 26.809 6923748.0 684344.0
192.88 1104.05 22766.403 75.79104556134055 78.77190044648869 -27.799328000000006 -49.128736 12190 28.513 6923623.0 684346.0
167.94 1106.07 22766.414 72.25769496552041 75.14172587692393 -27.800453000000005 -49.128714 12190 24.927 6923498.0 684346.0
