ALTURA GPSALT LAT LONG Line MAGIGRF X Y
97.87 467.38 -16.13397 -51.235574 22720 358.332 8216225.12 474812.25
97.78 467.49 -16.134045 -51.235574 22720 358.509 8216216.83 474812.26
97.69 467.61 -16.134122 -51.235574 22720 358.652 8216208.22 474812.27
97.6 467.73 -16.134197 -51.235571 22720 358.739 8216199.93 474812.58
97.51 467.84 -16.134272 -51.235571 22720 358.746 8216191.63 474812.59
97.41 467.96 -16.134347 -51.235569 22720 358.648 8216183.34 474812.9
97.32 468.07 -16.134425 -51.235566 22720 358.438 8216174.73 474813.2
97.23 468.19 -16.1345 -51.235566 22720 358.111 8216166.44 474813.21
97.44 468.36 -16.134578 -51.235566 22720 357.675 8216157.83 474813.22
97.66 468.53 -16.134653 -51.235563 22720 357.148 8216149.54 474813.53
97.87 468.71 -16.134728 -51.235563 22720 356.555 8216141.24 474813.54
98.08 468.88 -16.134803 -51.235563 22720 355.937 8216132.94 474813.55
98.29 469.05 -16.134881 -51.235563 22720 355.328 8216124.34 474813.56
98.51 469.22 -16.134956 -51.23556 22720 354.754 8216116.04 474813.86
98.72 469.39 -16.135031 -51.23556 22720 354.255 8216107.75 474813.87
98.93 469.57 -16.135106 -51.23556 22720 353.853 8216099.45 474813.88
99.15 469.74 -16.135184 -51.23556 22720 353.56 8216090.85 474813.89
99.36 469.91 -16.135259 -51.235558 22720 353.379 8216082.55 474814.2
99.54 470.14 -16.135334 -51.235558 22720 353.282 8216074.26 474814.21
99.73 470.38 -16.135411 -51.235558 22720 353.232 8216065.65 474814.22
99.91 470.61 -16.135486 -51.235555 22720 353.173 8216057.36 474814.53
100.09 470.85 -16.135561 -51.235555 22720 353.047 8216049.06 474814.54
100.27 471.08 -16.135639 -51.235555 22720 352.792 8216040.46 474814.54
100.46 471.31 -16.135714 -51.235555 22720 352.361 8216032.16 474814.55
100.64 471.55 -16.135789 -51.235555 22720 351.711 8216023.87 474814.56
100.82 471.78 -16.135864 -51.235552 22720 350.807 8216015.57 474814.87
101.01 472.02 -16.135942 -51.235552 22720 349.631 8216006.97 474814.88
101.19 472.25 -16.136017 -51.235552 22720 348.184 8215998.67 474814.89
101.4 472.58 -16.136092 -51.235552 22720 346.467 8215990.37 474814.9
101.62 472.91 -16.136167 -51.235552 22720 344.506 8215982.08 474814.91
101.83 473.24 -16.136245 -51.235555 22720 342.32 8215973.47 474814.62
102.05 473.57 -16.13632 -51.235555 22720 339.94 8215965.18 474814.63
102.26 473.9 -16.136395 -51.235555 22720 337.397 8215956.88 474814.64
102.47 474.23 -16.13647 -51.235555 22720 334.724 8215948.58 474814.65
102.69 474.56 -16.136547 -51.235555 22720 331.949 8215939.98 474814.66
102.9 474.89 -16.136622 -51.235555 22720 329.115 8215931.68 474814.67
103.12 475.22 -16.136697 -51.235558 22720 326.254 8215923.39 474814.38
103.33 475.55 -16.136772 -51.235558 22720 323.407 8215915.09 474814.39
103.6 475.76 -16.13685 -51.23556 22720 320.609 8215906.49 474814.1
103.88 475.96 -16.136925 -51.23556 22720 317.904 8215898.19 474814.11
104.15 476.17 -16.137 -51.235563 22720 315.325 8215889.9 474813.83
104.43 476.37 -16.137075 -51.235566 22720 312.907 8215881.6 474813.54
104.7 476.58 -16.137153 -51.235569 22720 310.685 8215872.99 474813.25
104.97 476.79 -16.137228 -51.235571 22720 308.687 8215864.7 474812.96
105.25 476.99 -16.137303 -51.235571 22720 306.916 8215856.4 474812.97
105.52 477.2 -16.137378 -51.235574 22720 305.383 8215848.11 474812.69
105.8 477.4 -16.137453 -51.235577 22720 304.083 8215839.81 474812.4
106.07 477.61 -16.137531 -51.23558 22720 303.012 8215831.21 474812.11
106.25 477.84 -16.137606 -51.235583 22720 302.152 8215822.91 474811.82
