GPSALT IGRF LAT LONG Line MAGIGRF MDT X Y
732.64 22763.854 -27.88928 -49.193578 12060 -97.235 584.91 6913751.0 677810.0
741.51 22763.845 -27.888476 -49.193579 12060 -99.103 596.52 6913840.0 677811.0
749.4 22763.837 -27.887677 -49.193586 12060 -103.799 618.92 6913929.0 677812.0
755.77 22763.828 -27.886882 -49.193602 12060 -107.12 656.68 6914017.0 677811.0
762.86 22763.819 -27.886091 -49.193615 12060 -105.027 665.17 6914104.0 677811.0
768.85 22763.81 -27.885305 -49.193632 12060 -105.203 666.58 6914192.0 677811.0
773.58 22763.802 -27.88452 -49.193643 12060 -100.403 674.05 6914279.0 677811.0
777.66 22763.793 -27.883736 -49.193654 12060 -96.456 686.37 6914366.0 677811.0
782.78 22763.785 -27.882951 -49.193663 12060 -90.462 696.61 6914452.0 677812.0
787.12 22763.776 -27.882167 -49.193667 12060 -90.209 702.44 6914539.0 677813.0
792.21 22763.769 -27.88138 -49.193662 12060 -88.186 707.75 6914627.0 677814.0
795.99 22763.761 -27.880588 -49.193649 12060 -87.12 716.38 6914714.0 677817.0
799.88 22763.754 -27.879789 -49.193627 12060 -82.208 715.03 6914803.0 677821.0
804.1 22763.748 -27.878985 -49.193602 12060 -76.303 689.07 6914892.0 677824.0
807.69 22763.741 -27.878178 -49.193565 12060 -83.37 675.88 6914981.0 677829.0
811.09 22763.735 -27.877371 -49.193533 12060 -88.72 711.04 6915071.0 677834.0
815.69 22763.729 -27.876564 -49.193497 12060 -88.322 719.8 6915160.0 677839.0
818.93 22763.722 -27.875754 -49.193462 12060 -84.641 703.73 6915250.0 677843.0
822.58 22763.716 -27.874938 -49.193425 12060 -79.577 683.53 6915340.0 677848.0
825.72 22763.709 -27.874115 -49.193394 12060 -75.911 665.33 6915431.0 677853.0
829.05 22763.702 -27.873284 -49.19337 12060 -75.07 669.74 6915523.0 677857.0
830.99 22763.695 -27.872448 -49.193348 12060 -74.885 653.62 6915616.0 677860.0
832.25 22763.687 -27.871609 -49.193332 12060 -76.723 631.93 6915709.0 677863.0
836.76 22763.679 -27.870769 -49.193331 12060 -79.83 648.67 6915802.0 677864.0
842.24 22763.67 -27.869928 -49.193339 12060 -79.418 665.42 6915895.0 677865.0
848.3 22763.661 -27.869084 -49.193348 12060 -79.041 656.51 6915989.0 677866.0
