GPSALT IGRF LAT LONG Line MAGIGRF X Y
1189.14 22766.641 -27.797333 -49.1239 12200 43.254 6923836.0 684826.0
1186.57 22766.653 -27.798456 -49.123867 12200 45.769 6923712.0 684827.0
1184.66 22766.665 -27.799578 -49.123828 12200 48.44 6923588.0 684829.0
1182.99 22766.677 -27.800694 -49.123786 12200 45.894 6923464.0 684831.0
1181.56 22766.69 -27.801811 -49.123744 12200 42.581 6923340.0 684833.0
1179.48 22766.701 -27.802922 -49.123719 12200 41.699 6923217.0 684834.0
1177.54 22766.711 -27.804031 -49.123717 12200 39.936 6923094.0 684832.0
1175.02 22766.722 -27.805133 -49.123711 12200 35.879 6922972.0 684831.0
1171.72 22766.733 -27.806233 -49.123689 12200 30.554 6922850.0 684831.0
1167.0 22766.745 -27.807331 -49.123647 12200 27.603 6922728.0 684834.0
1160.22 22766.757 -27.808428 -49.123603 12200 25.025 6922606.0 684836.0
1151.91 22766.77 -27.809528 -49.123558 12200 20.937 6922485.0 684839.0
1142.84 22766.781 -27.810628 -49.123528 12200 15.441 6922363.0 684840.0
1133.7 22766.793 -27.811736 -49.123497 12200 9.34 6922240.0 684841.0
1123.43 22766.804 -27.812842 -49.123483 12200 1.506 6922117.0 684840.0
1113.33 22766.814 -27.813947 -49.123481 12200 -7.822 6921995.0 684839.0
1104.26 22766.825 -27.815056 -49.123478 12200 -17.135 6921872.0 684837.0
1096.45 22766.835 -27.816167 -49.123478 12200 -26.669 6921749.0 684835.0
1088.82 22766.845 -27.817278 -49.123475 12200 -38.407 6921626.0 684834.0
1082.72 22766.857 -27.818389 -49.12345 12200 -49.488 6921502.0 684834.0
1079.86 22766.869 -27.819497 -49.123417 12200 -61.736 6921380.0 684836.0
1076.62 22766.882 -27.820597 -49.123364 12200 -72.684 6921258.0 684839.0
1072.85 22766.894 -27.821694 -49.123336 12200 -82.65 6921136.0 684840.0
1069.1 22766.904 -27.822789 -49.123322 12200 -92.718 6921015.0 684840.0
1065.34 22766.915 -27.823878 -49.123311 12200 -102.714 6920894.0 684839.0
1061.49 22766.926 -27.824969 -49.123303 12200 -111.322 6920773.0 684838.0
1058.58 22766.936 -27.826058 -49.123294 12200 -118.142 6920652.0 684837.0
1055.75 22766.947 -27.827147 -49.123289 12200 -124.652 6920532.0 684835.0
1053.42 22766.957 -27.828236 -49.123289 12200 -128.593 6920411.0 684833.0
1052.54 22766.966 -27.829317 -49.123303 12200 -130.233 6920291.0 684830.0
1053.58 22766.976 -27.830394 -49.123322 12200 -132.093 6920172.0 684827.0
1055.38 22766.985 -27.831464 -49.123331 12200 -134.29 6920054.0 684824.0
1057.14 22766.996 -27.832525 -49.123317 12200 -135.894 6919936.0 684824.0
1056.78 22767.008 -27.833583 -49.123283 12200 -137.544 6919819.0 684825.0
