ALTURA GPSALT LAT LONG Line MAGIGRF X Y
135.82 573.88 -16.188239 -51.226377 22740 -34.421 8210223.12 475802.24
138.69 586.37 -16.189269 -51.226371 22740 -21.737 8210109.13 475802.96
141.55 600.85 -16.190283 -51.226363 22740 -6.599 8209996.97 475803.97
134.26 614.63 -16.191278 -51.226357 22740 30.572 8209886.97 475804.69
123.87 627.06 -16.192255 -51.226355 22740 67.058 8209778.81 475805.11
110.7 637.47 -16.193222 -51.226363 22740 97.109 8209671.88 475804.33
88.15 647.51 -16.194175 -51.226371 22740 120.449 8209566.49 475803.56
89.31 657.43 -16.195117 -51.226382 22740 138.836 8209462.32 475802.49
109.54 666.02 -16.19605 -51.226396 22740 142.994 8209359.08 475801.12
148.59 670.81 -16.196983 -51.226413 22740 138.403 8209255.83 475799.45
166.98 670.22 -16.197919 -51.226438 22740 130.918 8209152.28 475796.89
155.85 663.07 -16.198869 -51.22648 22740 124.511 8209047.19 475792.55
143.08 653.13 -16.199836 -51.226524 22740 114.039 8208940.26 475787.92
151.49 605.8 -16.199028 -51.222116 22750 95.302 8209030.19 476259.01
143.26 619.24 -16.197914 -51.222152 22750 99.615 8209153.4 476255.01
121.31 631.4 -16.196822 -51.222185 22750 110.572 8209274.15 476251.32
110.34 640.64 -16.195744 -51.222208 22750 120.73 8209393.37 476248.82
108.36 644.61 -16.194678 -51.222213 22750 107.795 8209511.36 476248.09
110.03 644.29 -16.193608 -51.222216 22750 87.17 8209629.66 476247.67
133.05 638.47 -16.192536 -51.22221 22750 58.905 8209748.26 476248.13
148.13 629.14 -16.191453 -51.222196 22750 22.6 8209868.1 476249.49
152.7 615.87 -16.19035 -51.222174 22750 -14.455 8209990.09 476251.73
148.13 600.37 -16.189228 -51.222146 22750 -46.092 8210114.23 476254.57
141.58 582.69 -16.18808 -51.222108 22750 -66.863 8210241.14 476258.59
133.81 567.54 -16.186911 -51.222052 22750 -82.655 8210370.5 476264.38
131.21 558.91 -16.185728 -51.221963 22750 -116.541 8210501.41 476273.74
129.24 551.17 -16.184539 -51.221858 22750 -122.721 8210632.93 476284.89
129.23 542.04 -16.183344 -51.221749 22750 -127.778 8210765.07 476296.32
128.32 531.71 -16.182139 -51.221652 22750 -141.51 8210898.44 476306.57
106.53 522.03 -16.180922 -51.221588 22750 -165.005 8211033.03 476313.26
95.71 518.08 -16.179703 -51.221549 22750 -210.25 8211167.92 476317.27
99.52 522.23 -16.178486 -51.221535 22750 -208.66 8211302.51 476318.61
116.43 532.19 -16.177286 -51.221552 22750 -189.227 8211435.25 476316.68
131.07 545.05 -16.176114 -51.221594 22750 -175.115 8211564.91 476312.09
142.95 557.87 -16.174961 -51.221641 22750 -140.756 8211692.42 476306.9
153.47 568.88 -16.173828 -51.221691 22750 -117.942 8211817.78 476301.42
157.58 579.95 -16.172717 -51.221721 22750 -112.166 8211940.69 476298.02
154.23 591.95 -16.171628 -51.221721 22750 -94.03 8212061.13 476297.89
134.42 604.37 -16.170556 -51.221724 22750 -64.391 8212179.74 476297.47
128.17 617.19 -16.169508 -51.221738 22750 -23.392 8212295.58 476295.86
130.15 629.12 -16.168478 -51.221755 22750 27.831 8212409.57 476293.95
130.31 638.22 -16.167461 -51.22178 22750 86.438 8212522.03 476291.16
121.01 643.36 -16.166447 -51.221808 22750 144.558 8212634.18 476288.07
109.57 642.72 -16.165436 -51.221841 22750 199.858 8212746.02 476284.38
103.63 639.09 -16.164417 -51.22188 22750 262.457 8212858.79 476280.1
108.66 634.35 -16.163392 -51.221919 22750 337.516 8212972.16 476275.82
151.79 631.44 -16.162358 -51.221963 22750 434.431 8213086.46 476270.95
175.58 627.65 -16.161319 -51.222005 22750 516.991 8213201.38 476266.37
184.7 622.71 -16.160272 -51.222027 22750 572.431 8213317.21 476263.87
177.63 617.09 -16.159208 -51.222024 22750 607.614 8213434.9 476264.04
157.58 611.16 -16.158133 -51.222005 22750 630.028 8213553.81 476265.99
