 ALTURA GPSALT IGRF mag_res1 LAT LONG Line MAGIGRF X Y
101 337.95 921.64 22763.69 -27.570747418685976 -27.896769 -49.198163 12050 -84.77600000000001 6912928.0 677346.0
102 351.49 916.22 22763.702 -35.112668099482825 -27.897945 -49.198181 12050 -92.375 6912798.0 677343.0
103 395.04 911.29 22763.713 -36.418618292475365 -27.899124 -49.198206 12050 -93.74 6912667.0 677338.0
104 438.52 907.68 22763.722999999998 -34.17656848546781 -27.900303000000005 -49.198238 12050 -91.557 6912536.0 677333.0
105 428.49 905.46 22763.732999999997 -33.22716522740822 -27.901484000000004 -49.198279 12050 -90.667 6912406.0 677327.0
106 417.26 902.56 22763.743 -33.74134077411517 -27.902665999999996 -49.198322 12050 -91.241 6912275.0 677321.0
107 422.31 898.28 22763.754 -35.141290967107615 -27.903848999999997 -49.198357 12050 -92.7 6912144.0 677316.0
108 395.71 894.96 22763.765 -35.87824116010005 -27.905033000000003 -49.198389 12050 -93.49600000000001 6912013.0 677311.0
109 381.72 891.76 22763.776 -36.243544804144506 -27.906218 -49.198405 12050 -93.92 6911881.0 677307.0
110 372.79 887.06 22763.789 -36.5828189359935 -27.907403000000002 -49.198402 12050 -94.316 6911750.0 677305.0
111 359.01 880.3 22763.802000000003 -36.11399581146536 -27.908593 -49.198378000000005 12050 -93.902 6911618.0 677306.0
112 322.98 870.69 22763.817000000003 -31.794172686937216 -27.909789 -49.198341 12050 -89.637 6911486.0 677307.0
113 275.96 858.92 22763.832000000002 -30.091831110798715 -27.910994 -49.19829 12050 -87.988 6911352.0 677311.0
114 261.05 844.45 22763.847999999998 -35.770068339426764 -27.912211 -49.198226 12050 -93.72 6911217.0 677315.0
115 263.86 830.95 22763.865 -39.84265901910683 -27.913441 -49.19815 12050 -97.846 6911081.0 677320.0
116 272.99 824.46 22763.882999999998 -39.037956600890936 -27.914679 -49.198063 12050 -97.094 6910943.0 677327.0
117 278.28 820.56 22763.901 -34.53367537790864 -27.915915000000002 -49.197974 12050 -92.64200000000001 6910806.0 677334.0
118 292.42 817.25 22763.917999999998 -31.063040703874165 -27.917146000000002 -49.197886 12050 -89.22399999999999 6910670.0 677340.0
119 327.48 813.97 22763.936 -29.5361806761252 -27.918371999999998 -49.197798 12050 -87.749 6910534.0 677347.0
120 357.23 809.74 22763.953999999998 -27.62332064837622 -27.919596000000002 -49.197709 12050 -85.88799999999999 6910398.0 677354.0
121 337.4 805.8 22763.971 -24.818107169575235 -27.920817 -49.197621000000005 12050 -83.135 6910263.0 677360.0
122 297.22 801.73 22763.988999999998 -22.20024714182626 -27.922034999999997 -49.197534000000005 12050 -80.569 6910127.0 677367.0
123 276.37 798.62 22764.006 -21.833454858258712 -27.923247999999997 -49.197452 12050 -80.25399999999999 6909993.0 677373.0
124 255.14 796.34 22764.022999999997 -23.927887928405596 -27.924458 -49.197378 12050 -82.40100000000001 6909859.0 677378.0
125 230.83 795.68 22764.037999999997 -25.7807717059816 -27.925665999999996 -49.197328999999996 12050 -84.30799999999999 6909725.0 677381.0
126 208.4 796.3 22764.052000000003 -25.884556898415703 -27.926871000000002 -49.19732 12050 -84.469 6909591.0 677380.0
127 183.72 795.47 22764.064 -25.17343934722672 -27.928072999999998 -49.197338 12050 -83.81700000000001 6909458.0 677376.0
128 204.45 792.37 22764.075 -24.654547149752332 -27.929273 -49.197371999999994 12050 -83.35799999999999 6909325.0 677371.0
129 251.85 787.23 22764.086 -24.60330150122585 -27.93047 -49.197409 12050 -83.367 6909193.0 677365.0
130 290.26 782.42 22764.097 -25.326409303751483 -27.931665999999996 -49.197443 12050 -84.15 6909060.0 677360.0
131 318.77 778.39 22764.107999999997 -24.467938301510458 -27.932859000000004 -49.197472 12050 -83.351 6908928.0 677355.0
132 347.41 775.48 22764.12 -20.381241945554926 -27.934053999999996 -49.197492 12050 -79.32300000000001 6908796.0 677351.0
133 363.46 768.04 22764.132 -14.756899040651518 -27.93525 -49.197503000000005 12050 -73.757 6908663.0 677348.0
134 347.28 757.64 22764.145 -8.887330782033466 -27.936452000000003 -49.197507 12050 -67.945 6908530.0 677346.0
135 304.15 747.05 22764.158 -7.013341328182086 -27.937659999999997 -49.197505 12050 -66.12899999999999 6908396.0 677344.0
136 263.04 736.51 22764.172000000002 -8.482126520616198 -27.938874 -49.197493 12050 -67.655 6908262.0 677343.0
137 221.57 727.73 22764.187 -7.842618615154343 -27.940094000000002 -49.197472 12050 -67.072 6908126.0 677344.0
138 183.11 720.68 22764.201 -6.420531904925944 -27.941318 -49.197441999999995 12050 -65.706 6907991.0 677345.0
139 166.45 714.25 22764.217 -6.111023999464088 -27.942545000000003 -49.197404 12050 -65.453 6907855.0 677346.0
140 151.83 708.57 22764.232999999997 -6.511644191339727 -27.943772999999997 -49.197355 12050 -65.90899999999999 6907718.0 677349.0
141 153.66 701.89 22764.249 -6.717460224734317 -27.945002000000002 -49.197297 12050 -66.169 6907582.0 677353.0
142 172.85 696.32 22764.266 -6.524050904414388 -27.94623 -49.197225 12050 -66.029 6907446.0 677358.0
143 189.22 694.52 22764.284 -7.949641584094451 -27.947460999999997 -49.197155 12050 -67.508 6907310.0 677363.0
144 210.64 692.43 22764.301 -11.29103642225558 -27.948689 -49.19709 12050 -70.904 6907173.0 677367.0
145 249.88 688.98 22764.318 -10.32582294345459 -27.949909 -49.197005 12050 -69.991 6907038.0 677373.0
146 279.39 686.22 22764.337000000003 -4.6433545987435 -27.95112 -49.196895 12050 -64.358 6906904.0 677382.0
147 319.35 683.63 22764.356 -1.018111607746917 -27.952327 -49.196797 12050 -60.783 6906770.0 677390.0
