 ALTURA GPSALT IGRF mag_res1 mag_res2 LAT LONG Line MAGIGRF X Y
48 197.22 1071.45 22763.036 12.92078311792357 11.57970522367436 -27.836574 -49.199194 12050 -41.477 6919599.0 677343.0
49 181.32 1072.5 22763.05 11.929755132194977 10.491766934822408 -27.837715000000003 -49.199132 12050 -42.518 6919473.0 677347.0
50 184.34 1073.7 22763.064 10.856952500180789 9.322226065287872 -27.838852000000003 -49.199065000000004 12050 -43.64 6919347.0 677352.0
51 179.43 1075.0 22763.078999999998 9.831149868166712 8.199685195753268 -27.839985 -49.198992 12050 -44.715 6919221.0 677357.0
52 188.81 1076.66 22763.093999999997 9.313151394633692 7.585895142092603 -27.841114 -49.198914 12050 -45.281000000000006 6919096.0 677363.0
53 186.77 1078.4 22763.109 9.477927567386168 7.6547076691145435 -27.842238000000002 -49.198842 12050 -45.165 6918971.0 677368.0
54 195.54 1080.96 22763.123 9.772282544905181 7.85387359269302 -27.843356 -49.198778999999995 12050 -44.919 6918847.0 677373.0
55 202.5 1084.31 22763.137000000002 9.582990973476214 7.569995493510618 -27.844465999999997 -49.19872 12050 -45.157 6918724.0 677377.0
56 188.76 1089.14 22763.151 6.905052853099278 4.798073371567462 -27.845567 -49.198664 12050 -47.88399999999999 6918602.0 677380.0
57 168.96 1094.94 22763.164 2.5949188912035055 0.39490206549812257 -27.846658 -49.198614 12050 -52.242 6918481.0 677384.0
58 133.01 1102.54 22763.176 -2.108537680783911 -4.401505521284072 -27.847739 -49.198586 12050 -56.996 6918361.0 677384.0
59 92.99 1111.35 22763.186 -6.717061996952637 -9.101603734270597 -27.848810999999998 -49.198582 12050 -61.655 6918243.0 677383.0
60 96.09 1116.92 22763.196 -11.038615825316946 -13.51585018244829 -27.849877000000003 -49.198592 12050 -66.029 6918124.0 677380.0
61 146.81 1118.34 22763.206000000002 -16.190365495200197 -18.759345814752166 -27.850945 -49.198602 12050 -71.232 6918006.0 677378.0
62 193.2 1114.14 22763.216 -21.081919323564513 -23.743592262929923 -27.85202 -49.198609999999995 12050 -76.176 6917887.0 677375.0
63 219.34 1106.05 22763.227000000003 -25.961826602980963 -28.71679468834681 -27.853107 -49.198617 12050 -81.108 6917767.0 677373.0
64 232.07 1096.28 22763.237 -30.038695650411547 -32.88945472275057 -27.85421 -49.198625 12050 -85.23899999999999 6917644.0 677370.0
65 246.33 1087.53 22763.248 -32.10233934412753 -35.048717337837026 -27.855325 -49.198628 12050 -87.35600000000001 6917521.0 677368.0
66 255.39 1080.08 22763.257999999998 -32.29936600109131 -35.34308416535385 -27.856447999999997 -49.198637 12050 -87.60799999999999 6917396.0 677365.0
67 266.65 1074.54 22763.269 -31.817167304340487 -34.958053573553364 -27.857577000000003 -49.198639 12050 -87.18 6917271.0 677363.0
68 274.93 1068.17 22763.281000000003 -31.72551790016061 -34.963228143118165 -27.858709 -49.198627 12050 -87.141 6917146.0 677363.0
