 index ALTURA GPSALT IGRF mag_res reg LAT LONG Line MAGIGRF X Y
91 3718 149.75 728.46 22766.706000000002 -71.25287928237907 -50.38112071762094 -27.856928000000003 -49.133221999999996 12180 -121.634 6917247.0 683807.0
92 3719 159.17 730.79 22766.695 -73.02350385595327 -50.335496144046736 -27.855916999999998 -49.133256 12180 -123.359 6917359.0 683805.0
93 3720 177.93 732.11 22766.682999999997 -75.09690307581283 -50.28909692418718 -27.854903000000004 -49.133283 12180 -125.38600000000001 6917471.0 683804.0
94 3721 177.46 731.86 22766.672000000002 -77.74372349090596 -50.24227650909404 -27.853886 -49.133308 12180 -127.986 6917584.0 683803.0
95 3722 171.5 733.21 22766.661 -79.75731855228457 -50.194681447715425 -27.852867 -49.133325 12180 -129.952 6917697.0 683803.0
96 3723 175.6 737.28 22766.651 -80.96646290623414 -50.145537093765846 -27.85185 -49.133328000000006 12180 -131.112 6917810.0 683805.0
97 3724 176.62 742.44 22766.642000000003 -81.11118606495026 -50.09681393504973 -27.850833 -49.133322 12180 -131.208 6917922.0 683807.0
98 3725 163.32 747.72 22766.632999999998 -80.82945851623737 -50.046541483762645 -27.849821999999996 -49.133297 12180 -130.876 6918034.0 683811.0
99 3726 128.62 753.49 22766.626 -81.89928026009541 -49.994719739904596 -27.848814 -49.133261 12180 -131.894 6918146.0 683817.0
100 3727 109.19 761.6 22766.618 -81.52090616243451 -49.94409383756549 -27.847814 -49.133221999999996 12180 -131.465 6918257.0 683822.0
101 3728 118.99 772.35 22766.61 -80.9576896743067 -49.8943103256933 -27.846828000000002 -49.133192 12180 -130.852 6918366.0 683827.0
102 3729 113.57 782.6 22766.601000000002 -79.0977280520891 -49.8472719479109 -27.84585 -49.133186 12180 -128.945 6918474.0 683829.0
103 3730 104.33 791.14 22766.591 -77.21321713730043 -49.80178286269957 -27.844878 -49.133196999999996 12180 -127.015 6918582.0 683829.0
104 3731 126.98 797.7 22766.581000000002 -76.55128502727841 -49.75671497272158 -27.843911 -49.133217 12180 -126.30799999999999 6918689.0 683829.0
105 3732 104.42 801.36 22766.57 -76.39099946620426 -49.71200053379573 -27.842939 -49.133244 12180 -126.103 6918797.0 683828.0
106 3733 110.23 805.17 22766.558999999997 -77.19971390513024 -49.667286094869766 -27.841964 -49.133275 12180 -126.867 6918905.0 683827.0
107 3734 132.96 810.89 22766.548 -78.2206536977707 -49.62334630222929 -27.840989 -49.133311 12180 -127.844 6919013.0 683825.0
108 3735 133.01 817.13 22766.537 -79.34936813669655 -49.57863186330344 -27.840017 -49.133339 12180 -128.928 6919121.0 683824.0
109 3736 108.07 824.56 22766.527000000002 -78.86166138038908 -49.534338619610935 -27.839046999999997 -49.133361 12180 -128.39600000000002 6919228.0 683823.0
110 3737 84.1 831.6 22766.516 -77.6361504656004 -49.488849534399606 -27.838081 -49.133381 12180 -127.125 6919336.0 683823.0
111 3738 111.96 835.58 22766.506 -78.85021835557836 -49.44378164442162 -27.837111 -49.133396999999995 12180 -128.29399999999998 6919443.0 683823.0
112 3739 146.77 839.52 22766.496 -79.35270744078983 -49.39829255921018 -27.836139000000003 -49.133417 12180 -128.751 6919551.0 683823.0
113 3740 145.78 841.55 22766.486 -77.63119652600115 -49.35280347399885 -27.835161 -49.133431 12180 -126.984 6919659.0 683823.0
114 3741 137.63 838.62 22766.476000000002 -69.51752800167951 -49.30647199832049 -27.834172 -49.133444 12180 -118.824 6919769.0 683823.0
115 3742 126.47 833.65 22766.466 -62.931280672591214 -49.25971932740879 -27.833169 -49.133458000000005 12180 -112.191 6919880.0 683823.0
116 3743 155.45 828.88 22766.456000000002 -60.77365038025519 -49.21134961974481 -27.83215 -49.133466999999996 12180 -109.985 6919993.0 683824.0
117 3744 185.58 825.05 22766.446 -62.34421592943823 -49.16178407056177 -27.831114000000003 -49.133466999999996 12180 -111.506 6920107.0 683826.0
118 3745 192.92 824.07 22766.437 -65.84939851537354 -49.11060148462646 -27.830069 -49.133458000000005 12180 -114.96 6920223.0 683829.0
119 3746 187.76 826.48 22766.427000000003 -63.660227650256836 -49.05977234974316 -27.829016999999997 -49.13345 12180 -112.72 6920340.0 683831.0
120 3747 174.89 829.43 22766.417 -60.54583143142573 -49.00816856857427 -27.827961 -49.133444 12180 -109.554 6920457.0 683834.0
121 3748 173.61 830.04 22766.408 -61.22966056630903 -48.95733943369098 -27.826903 -49.133435999999996 12180 -110.18700000000001 6920574.0 683836.0
122 3749 189.97 828.18 22766.397999999997 -64.75891089642577 -48.90608910357423 -27.825836 -49.133435999999996 12180 -113.665 6920692.0 683838.0
123 3750 185.28 832.45 22766.388 -63.26116122654252 -48.85483877345748 -27.824771999999996 -49.133435999999996 12180 -112.116 6920810.0 683840.0
124 3751 154.61 842.91 22766.377999999997 -50.35021571514033 -48.80478428485967 -27.823721999999997 -49.133447 12180 -99.155 6920927.0 683841.0
125 3752 145.21 857.8 22766.367000000002 -31.31445732546681 -48.75754267453319 -27.822692 -49.133466999999996 12180 -80.072 6921041.0 683840.0
126 3753 183.75 872.1 22766.356 -10.223856545326491 -48.71114345467351 -27.821678000000002 -49.133497 12180 -58.935 6921153.0 683839.0
127 3754 206.62 884.41 22766.345 -2.1178345699527057 -48.665165430047296 -27.820678000000004 -49.133528000000005 12180 -50.783 6921264.0 683838.0
128 3755 225.91 894.87 22766.334 -1.1346167530601008 -48.6203832469399 -27.819689 -49.133561 12180 -49.755 6921374.0 683836.0
129 3756 232.56 905.57 22766.322999999997 -1.0175565457004652 -48.57644345429953 -27.818708 -49.133594 12180 -49.593999999999994 6921482.0 683834.0
130 3757 229.32 916.85 22766.312 -0.680270984626425 -48.53172901537357 -27.817742 -49.133628 12180 -49.211999999999996 6921590.0 683833.0
131 3758 246.12 928.61 22766.302000000003 0.9296316132000086 -48.488631613200006 -27.816783 -49.133658000000004 12180 -47.559 6921696.0 683831.0
132 3759 245.93 940.0 22766.292 1.6551807599744137 -48.44518075997441 -27.815833 -49.133689000000004 12180 -46.79 6921801.0 683830.0
133 3760 224.83 951.56 22766.281000000003 3.5059257482677637 -48.40292574826776 -27.814894 -49.133719 12180 -44.897 6921905.0 683828.0
134 3761 198.11 962.2 22766.271 6.204091931794572 -48.36109193179457 -27.813964000000002 -49.133756 12180 -42.157 6922008.0 683826.0
135 3762 169.96 971.97 22766.261000000002 10.045483469035773 -48.318483469035776 -27.813039 -49.133783 12180 -38.273 6922111.0 683825.0
