Line,X,Y,Bx,By,Bz,Bm,Bm_res
5,14.0,-24.5700913874,156.694862711,25696.2,-43431.0641859,50463.6164384,22.9070530042
5,14.0,-24.6225464926,157.048416102,25697.0,-43430.4277898,50463.4772009,23.4996901422
5,14.0,-24.6860447777,168.079281888,25695.0,-43431.4177393,50463.3463267,22.7178983342
5,14.0,-24.7357390878,172.887608,25694.6,-43431.5591606,50463.2806148,21.904921149
5,14.0,-24.796476578,175.291771056,25694.4,-43431.700582,50463.3087898,21.3769705813
5,14.0,-24.8544532731,176.988827331,25693.4,-43431.9834247,50463.0489845,21.3742966782
5,14.0,-24.9096691733,169.422784772,25694.6,-43432.3369781,50463.9382987,23.5437050313
5,14.0,-24.9704066634,159.523289836,25695.7,-43432.1955568,50464.3444132,24.3628555699
5,14.0,-25.0201009735,155.422070505,25696.5,-43431.7712927,50464.3738284,25.3592883388
5,14.0,-25.0753168737,152.522932702,25697.5,-43431.4177393,50464.5699114,26.1848154973
5,14.0,-25.1332935688,150.401612358,25697.7,-43430.1449471,50463.5699893,25.5194495044
5,14.0,-25.202313444,147.71460659,25697.6,-43429.4378403,50462.9025769,24.9171170732
5,14.0,-25.2878980892,147.856027946,25698.1,-43428.7307335,50462.549065,24.7367482715
5,14.0,-25.3541571693,145.805418281,25699.1,-43427.528652,50462.0178436,24.6851848659
5,14.0,-25.4204162495,143.684097937,25700.2,-43427.1043879,50462.206855,24.7568150068
5,14.0,-25.4839145346,145.45186489,25700.9,-43427.0336772,50462.507578,23.9919077336
5,14.0,-25.5363696398,145.663996924,25701.5,-43426.2558598,50462.144408,23.7534304535
5,14.0,-25.6053895149,147.361053199,25702.2,-43426.3972811,50462.6275667,24.7707751444
5,14.0,-25.6688878001,152.240089989,25701.3,-43426.4679918,50462.2445099,24.7457245029
5,14.0,-25.7185821102,160.018264583,25700.0,-43427.0336772,50462.0932964,25.4617654921
5,14.0,-25.7848411904,163.624509167,25701.4,-43426.2558598,50462.1485169,26.0921018543
5,14.0,-25.8400570905,168.715677991,25702.4,-43424.5588035,50461.2141949,25.7248491667
5,14.0,-25.9035553757,172.604765288,25702.7,-43423.9224074,50460.8325034,25.4698695675
5,14.0,-25.9753360458,172.887608,25703.6,-43423.7809861,50461.1702025,25.0086798814
5,14.0,-26.044355921,176.28172055,25703.1,-43423.4981433,50460.6838624,23.9743564154
5,14.0,-26.1244189762,181.372889374,25702.0,-43423.2153006,50459.8982081,24.1146814033
5,14.0,-26.1906780564,178.120198181,25701.9,-43422.6496152,50459.3488862,23.6587256673
5,14.0,-26.2514155465,182.716392259,25701.2,-43422.8617472,50459.1913237,23.1215670094
5,14.0,-26.2955882666,181.938574799,25701.7,-43422.0839298,50458.773839,22.5249707966
5,14.0,-26.3425217817,181.797153443,25702.2,-43421.8010871,50458.7846137,22.6242561573
5,14.0,-26.4087808619,187.241875658,25701.3,-43423.2860113,50459.6239505,23.8815183133
5,14.0,-26.469518352,190.070302783,25700.4,-43423.4274327,50459.2978239,22.9561634362
5,14.0,-26.5523422022,198.272741445,25699.8,-43423.2860113,50458.9020901,22.275301641
5,14.0,-26.6241228724,196.717106526,25699.5,-43421.8717977,50457.5261808,21.552040945
5,14.0,-26.6848603626,192.969440586,25700.2,-43420.9525589,50457.0771881,21.1492560605
5,14.0,-26.7621626228,188.726799899,25701.8,-43420.5282949,50457.5110212,21.2829667101
5,14.0,-26.8146177279,184.767001924,25702.6,-43419.2555027,50456.8085991,20.6863857873
5,14.0,-26.8891591931,183.211367005,25703.5,-43418.9726599,50457.0180005,22.6804247691
5,14.0,-26.9609398632,182.857813615,25703.6,-43419.184792,50457.2502019,23.5549427071
5,14.0,-27.0244381484,181.938574799,25702.8,-43418.5483959,50456.2917215,22.3179210437
5,14.0,-27.0851756385,180.170807846,25702.9,-43417.0634716,50455.0585217,21.5428661543
5,14.0,-27.1403915387,180.241518524,25703.4,-43415.8613901,50454.2790932,20.380127182
5,14.0,-27.1900858488,179.817254456,25703.4,-43415.437126,50453.9125009,20.3818859562
5,14.0,-27.2425409539,182.504260224,25703.0,-43416.1442328,50454.3268397,20.6846943297
5,14.0,-27.3088000341,183.069945649,25702.9,-43415.5785474,50453.7911719,19.3309328165
5,14.0,-27.3667767292,182.504260224,25702.1,-43415.437126,50453.2598854,18.9569108995
5,14.0,-27.4192318344,182.009285477,25701.4,-43415.9321008,50453.3274375,19.7270777637
5,14.0,-27.4772085295,181.372889374,25700.6,-43415.8613901,50452.8567747,18.6524338125
5,14.0,-27.5158596596,186.181215486,25700.1,-43416.0028115,50452.7412891,18.3755248232
5,14.0,-27.5738363547,187.948982439,25699.9,-43415.7906794,50452.46342,18.3294973634
5,14.0,-27.6290522549,184.696291246,25700.4,-43415.9321008,50452.8278004,18.6783005143
5,14.0,-27.67046418,182.787102937,25701.3,-43416.1442328,50453.4618521,19.0697878418
5,14.0,-27.7367232601,182.716392259,25700.9,-43415.7906794,50452.9535945,17.6658290994
5,14.0,-27.7891783653,180.453650559,25701.6,-43415.5078367,50453.0586466,18.5499613034
5,14.0,-27.8720022155,179.534411743,25702.1,-43416.0028115,50453.7360078,19.4080659629
5,14.0,-27.9437828856,181.514310731,25701.8,-43416.0028115,50453.5902668,18.426396935
