LINE,X,Y,Bx,By,Bz,Bm,DIST_ABS,MAG_REGIONAL,MAG_MOD,mag_res
         10,18.000000,-42.743000,881.196000,26045.100000,-43320.473000,50554.793000,7.674000,50294.673093,50581.704390,260.119907
         10,18.000000,-42.821000,889.328000,26046.100000,-43321.533000,50556.359000,7.752000,50293.931522,50586.236285,262.427478
         10,18.000000,-42.886000,884.449000,26049.100000,-43323.584000,50559.577000,7.817000,50293.313762,50590.094283,266.263238
         10,18.000000,-42.981000,882.823000,26053.100000,-43326.059000,50563.730000,7.912000,50292.411237,50595.868719,271.318763
         10,18.000000,-43.050000,879.994000,26056.200000,-43327.614000,50566.611000,7.981000,50291.755983,50600.165842,274.855017
         10,18.000000,-43.109000,869.246000,26058.700000,-43330.584000,50570.258000,8.040000,50291.195869,50603.910252,279.062131
         10,18.000000,-43.186000,864.226000,26061.300000,-43333.201000,50573.753000,8.117000,50290.465117,50608.895822,283.287883
         10,18.000000,-43.249000,857.933000,26064.500000,-43335.110000,50576.931000,8.180000,50289.867434,50613.059501,287.063566
         10,18.000000,-43.329000,860.903000,26067.500000,-43337.797000,50580.830000,8.260000,50289.108739,50618.458389,291.721261
         10,18.000000,-43.406000,862.317000,26070.400000,-43338.645000,50583.075000,8.337000,50288.378777,50623.774942,294.696223
         10,18.000000,-43.480000,861.751000,26073.300000,-43340.060000,50585.772000,8.411000,50287.677516,50628.997461,298.094484
         10,18.000000,-43.567000,864.367000,26075.500000,-43342.817000,50589.313000,8.498000,50286.853386,50635.281930,302.459614
         10,18.000000,-43.647000,861.185000,26078.700000,-43345.858000,50593.514000,8.578000,50286.095877,50641.201196,307.418123
         10,18.000000,-43.721000,852.347000,26082.100000,-43348.616000,50597.479000,8.652000,50285.395447,50646.798584,312.083553
         10,18.000000,-43.796000,839.831000,26085.900000,-43351.939000,50602.076000,8.727000,50284.685812,50652.593443,317.390188
         10,18.000000,-43.855000,837.214000,26089.300000,-43355.969000,50607.239000,8.786000,50284.127751,50657.239636,323.111249
         10,18.000000,-43.906000,830.143000,26093.000000,-43358.939000,50611.574000,8.837000,50283.645489,50661.318851,327.928511
         10,18.000000,-43.959000,825.830000,26096.900000,-43361.414000,50615.634000,8.890000,50283.144444,50665.620710,332.489556
         10,18.000000,-44.018000,830.285000,26099.900000,-43364.313000,50619.737000,8.949000,50282.586830,50670.485623,337.150170
         10,18.000000,-44.075000,829.366000,26103.400000,-43367.778000,50624.495000,9.006000,50282.048273,50675.262675,342.446727
         10,18.000000,-44.137000,830.073000,26106.900000,-43369.899000,50628.129000,9.068000,50281.462647,50680.545867,346.666353
         10,18.000000,-44.203000,826.396000,26111.100000,-43371.738000,50631.809000,9.134000,50280.839434,50686.270982,350.969566
         10,18.000000,-44.265000,817.557000,26114.500000,-43375.344000,50636.508000,9.196000,50280.254177,50691.745361,356.253823
         10,18.000000,-44.322000,816.284000,26118.500000,-43378.597000,50641.337000,9.253000,50279.716277,50696.861594,361.620723
         10,18.000000,-44.378000,811.193000,26122.300000,-43382.415000,50646.486000,9.309000,50279.187961,50701.966767,367.298039
         10,18.000000,-44.432000,807.021000,26125.600000,-43386.304000,50651.453000,9.363000,50278.678651,50706.964336,372.774349
         10,18.000000,-44.470000,803.910000,26129.500000,-43389.698000,50656.322000,9.401000,50278.320330,50710.525568,378.001670
         10,18.000000,-44.524000,800.728000,26134.100000,-43394.295000,50662.581000,9.455000,50277.811252,50715.650013,384.769748
         10,18.000000,-44.586000,804.405000,26137.900000,-43397.264000,50667.144000,9.517000,50277.226924,50721.626868,389.917076
         10,18.000000,-44.649000,801.576000,26140.800000,-43399.386000,50670.412000,9.580000,50276.633354,50727.803411,393.778646
         10,18.000000,-44.717000,795.990000,26145.200000,-43402.709000,50675.440000,9.648000,50275.992883,50734.588446,399.447117
         10,18.000000,-44.788000,801.788000,26149.300000,-43406.103000,50680.554000,9.719000,50275.324386,50741.805549,405.229614
         10,18.000000,-44.836000,798.182000,26153.800000,-43408.720000,50685.060000,9.767000,50274.872577,50746.762431,410.187423
